open,high,low,close,volume,vwap,timestamp,transactions,otc
101.0,102.54,100.7,102.34,784681.0,102.018,2024-04-05 04:00:00,12390,
102.35,103.08,102.21,103.05,771942.0,102.8999,2024-04-08 04:00:00,10731,
103.3,103.88,101.84,102.78,831807.0,102.7216,2024-04-09 04:00:00,11873,
101.49,101.49,100.2,100.94,1374112.0,100.7883,2024-04-10 04:00:00,16710,
100.88,100.95,99.56,100.36,822467.0,100.3278,2024-04-11 04:00:00,11797,
99.46,99.88,98.135,98.53,826478.0,98.6581,2024-04-12 04:00:00,13834,
99.29,99.72,97.5,97.92,583599.0,98.242,2024-04-15 04:00:00,11507,
97.33,97.42,96.2,96.4,911309.0,96.5641,2024-04-16 04:00:00,13306,
96.56,97.93,96.13,96.78,821002.0,96.7819,2024-04-17 04:00:00,12366,
96.73,97.7,96.43,96.9,675645.0,96.9073,2024-04-18 04:00:00,9425,
97.0,98.12,96.73,97.86,882487.0,97.7884,2024-04-19 04:00:00,13354,
98.38,99.32,98.07,99.2,3192867.0,98.2419,2024-04-22 04:00:00,9851,
99.49,100.25,99.255,99.85,1954008.0,99.8064,2024-04-23 04:00:00,11261,
98.79,98.81,96.82,97.27,3537112.0,97.737,2024-04-24 04:00:00,11269,
96.44,97.97,95.838,97.68,649138.0,97.2682,2024-04-25 04:00:00,9021,
97.97,98.45,97.6,98.16,502507.0,98.1467,2024-04-26 04:00:00,7429,
98.31,98.67,97.6,97.99,697407.0,98.0883,2024-04-29 04:00:00,8236,
97.18,97.96,96.74,96.83,799543.0,96.9576,2024-04-30 04:00:00,6590,
96.98,98.29,96.52,97.38,534757.0,97.2897,2024-05-01 04:00:00,6576,
98.04,99.34,97.72,99.22,1936711.0,99.1014,2024-05-02 04:00:00,9868,
100.11,101.31,99.99,101.17,2470596.0,101.0164,2024-05-03 04:00:00,17170,
101.84,102.04,100.96,101.82,1595965.0,101.7402,2024-05-06 04:00:00,9469,
102.0,102.12,100.89,101.02,634532.0,101.2807,2024-05-07 04:00:00,10304,
100.62,101.98,100.32,101.85,564941.0,101.7498,2024-05-08 04:00:00,8415,
102.1,103.105,101.96,103.09,618636.0,102.8173,2024-05-09 04:00:00,10550,
