open,high,low,close,volume,vwap,timestamp,transactions,otc
132.6,136.123,131.4195,133.943,19438280.0,134.0504,2024-04-05 04:00:00,81428,
133.365,134.25,131.575,133.61,17139170.0,133.3438,2024-04-08 04:00:00,67184,
135.737,135.948,130.864,133.408,18007940.0,133.1421,2024-04-09 04:00:00,76307,
132.3,133.575,131.548,132.237,17466520.0,132.3721,2024-04-10 04:00:00,75699,
133.268,139.187,132.365,138.246,31713310.0,137.1632,2024-04-11 04:00:00,106749,
135.201,136.6505,133.662,134.407,27823320.0,134.6378,2024-04-12 04:00:00,94600,
137.0,137.0,130.6,131.069,24370450.0,132.6423,2024-04-15 04:00:00,84068,
131.538,133.6319,131.1,132.906,18922740.0,132.5262,2024-04-16 04:00:00,70399,
134.311,134.7,128.142,128.263,24717800.0,129.7995,2024-04-17 04:00:00,91902,
128.8,129.265,125.546,125.899,24888030.0,126.879,2024-04-18 04:00:00,90000,
125.899,126.0,119.756,120.471,44796580.0,121.7804,2024-04-19 04:00:00,140867,
122.45,123.32,120.054,122.446,25162180.0,121.9321,2024-04-22 04:00:00,87240,
122.817,125.79,122.802,124.919,22025130.0,124.7506,2024-04-23 04:00:00,82095,
126.39,128.562,124.496,125.682,20107930.0,126.116,2024-04-24 04:00:00,77731,
127.245,130.803,125.7,129.442,30409670.0,129.3453,2024-04-25 04:00:00,104474,
131.0,135.583,130.313,134.407,24099830.0,134.0458,2024-04-26 04:00:00,94945,
134.408,135.298,132.5695,133.862,13371790.0,133.6846,2024-04-29 04:00:00,57055,
132.888,134.835,129.905,130.027,22113360.0,131.2387,2024-04-30 04:00:00,80969,
127.833,129.237,124.1345,124.286,30957830.0,125.9593,2024-05-01 04:00:00,107897,
125.628,126.445,122.331,123.857,29479680.0,123.7776,2024-05-02 04:00:00,101076,
125.9,128.388,124.714,127.811,24897550.0,127.2324,2024-05-03 04:00:00,83646,
128.6225,131.077,127.507,131.031,16287080.0,130.3367,2024-05-06 04:00:00,69202,
131.644,131.899,129.6755,130.311,12412830.0,130.5224,2024-05-07 04:00:00,58876,
129.35,133.7905,128.849,132.537,13917640.0,132.162,2024-05-08 04:00:00,69339,
131.783,132.161,130.2,130.567,12169550.0,130.7736,2024-05-09 04:00:00,60903,
131.531,134.4,131.531,133.28,16299530.0,133.2919,2024-05-10 04:00:00,73152,
134.8,135.839,133.011,133.751,18507030.0,134.2573,2024-05-13 04:00:00,78386,
